"filename", "language", "JSON", "JSON with Comments", "CSS", "HTML", "TypeScript", "Markdown", "comment", "blank", "total"
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\header-layout\header-layout.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\header-layout\header-layout.component.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 4, 34
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\home-page\home-page.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\home-page\home-page.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\home-page\home-page.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\home-page\home-page.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\products\products.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\products\products.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\products\products.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\app\web_page\products\products.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\index.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 1, 30
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\main.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 2, 7
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\src\styles.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 1, 3
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\tsconfig.app.json", "JSON", 13, 0, 0, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\tsconfig.json", "JSON with Comments", 0, 30, 0, 0, 0, 0, 2, 1, 33
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\eCommerceProject\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 2, 1, 16
"Total", "-", 14421, 30, 130, 205, 359, 14, 13, 157, 15329
